,timestamp,transactionHash,from,to,toCreate,fromIsContract,toIsContract,value,callingFunction,isError,category,tag
59,1574900867,0x095dedbbe4b744890203b3790cc864eff8634294c932dd88afed3917ef458f75,0x886a09ab05f87292668de82c3d011eae43975359,0x8e870d67f660d95d5be530380d0ec0bd388289e1,None,0,1,0,0xa9059cbb,None,Finance,"['finance', 'fiat', 'tokens', 'exchange', 'assets', 'transactions']"
60,1574900945,0xace30f49ab837143b6380517c41581f1f80023f61e0953bcc5367b0f7ac0c1a4,0x1b1cc8bf45354602e840a451c547e7bfaf5a9a3d,0x8e870d67f660d95d5be530380d0ec0bd388289e1,None,0,1,0,0xa9059cbb,None,Finance,"['finance', 'fiat', 'tokens', 'exchange', 'assets', 'transactions']"
61,1574900975,0x58377b1b235f11dfba01876d3e3a3234065b0643fefe41ed6da89af7ae59f5c7,0x3a7aaee20c25797be347e0b8db4469e2df2356f0,0x8e870d67f660d95d5be530380d0ec0bd388289e1,None,0,1,0,0xa9059cbb,None,Finance,"['finance', 'fiat', 'tokens', 'exchange', 'assets', 'transactions']"
62,1574901000,0x9196e2540657725cbe0bc020ae28d34d9c8760ec0bece44755952e91de79d063,0x2713d9675d931834d4ec5d1518e8d2905584c2ef,0x72955ecff76e48f2c8abcce11d54e5734d6f3657,None,0,1,0,0xa9059cbb,None,Finance,"['prediction', 'finance', 'weather', 'analytics', 'chart']"
63,1574901093,0x1a6463f7c840a51cb4638bb284cc2a2fa6fa56a3512396305153bd0c583b3532,0xc88f7666330b4b511358b7742dc2a3234710e7b1,0x8e870d67f660d95d5be530380d0ec0bd388289e1,None,0,1,0,0xa9059cbb,None,Finance,"['finance', 'fiat', 'tokens', 'exchange', 'assets', 'transactions']"
64,1574901093,0x41a798e250e460ccba75e9dbbf6e49145f346dcdb4e7104749b9854f606d8307,0xc44bc8b3b1a80e8c8111ec0cd8dc30ea706fc146,0x8e870d67f660d95d5be530380d0ec0bd388289e1,None,0,1,0,0xa9059cbb,None,Finance,"['finance', 'fiat', 'tokens', 'exchange', 'assets', 'transactions']"
65,1574901097,0xe0b8ae6670ad25eae677b74b202df650ea2b74fa6913352827e1837e71fcabec,0x17a8a80524d60506bd54b433189afd64da3ab6f0,0x8e870d67f660d95d5be530380d0ec0bd388289e1,None,0,1,0,0xa9059cbb,None,Finance,"['finance', 'fiat', 'tokens', 'exchange', 'assets', 'transactions']"
66,1574901140,0xeb640c609da3427684629fa5a9ad549bd5900195d232d8d8f1687c2750cb1a73,0xd551234ae421e3bcba99a0da6d736074f22192ff,0x408e41876cccdc0f92210600ef50372656052a38,None,0,1,0,0xa9059cbb,None,Exchanges,"['exchange', 'finance', 'trading', 'assets', 'open-source', 'metamask']"
67,1574901173,0x9bec37099174d27088b43eec334a7ea7eb749d746afa99c0a03093e61d1f096e,0xab89b6f3503e9239b19d7b9e366b2e18720a8e67,0x8e870d67f660d95d5be530380d0ec0bd388289e1,None,0,1,0,0xa9059cbb,None,Finance,"['finance', 'fiat', 'tokens', 'exchange', 'assets', 'transactions']"
68,1574901205,0xe2fbcd655456b848416bea366d83336033040fa9c2438341f491ae2bbf3ed97e,0x9edb2d8c88eb6da971f8d0a27231ac064759ce07,0x3201d51cfec86afb324f0095aefb3d5b0467784c,None,0,1,100000000000000000,0x156f6c37,None,Gambling,"['gambling', 'chance', 'lottery', 'metamask']"
69,1574901205,0x310b418d89e2ffae3d4dc352f53431e892b30d4373e9293a49576f026ab420f8,0x17a8a80524d60506bd54b433189afd64da3ab6f0,0x8e870d67f660d95d5be530380d0ec0bd388289e1,None,0,1,0,0xa9059cbb,None,Finance,"['finance', 'fiat', 'tokens', 'exchange', 'assets', 'transactions']"
70,1574901212,0x5d71bcca319aa36815e4aef9845f1b6e57c97ce8117f9c5c2653cc4b5bd24681,0x6e8b75e603f804419fb220dd9cbf8ac73c724c97,0x137ded6c96adc0cf82fba9cbe71bf470e6f43aad,None,0,1,0,0xf750c9b1,None,Marketplaces,"['marketplace', 'selling', 'paypal', 'buying', 'ink', 'protocol']"
71,1574901291,0x4d5fe77b053803df60cf8ec76937701ae24893711890f53ca58611b427aa63c9,0x5aa8608ab0684aef89f480bc028c7969fcb16881,0x445f51299ef3307dbd75036dd896565f5b4bf7a5,None,0,1,0,0xbb0bef19,None,Security,"['token', 'validation', 'verification']"
72,1574901305,0x921a73d9c6e083cc9a88fb7a183b1243d526a4e9c01ff69be648db1ad4b3795d,0xdf4b6fb700c428476bd3c02e6fa83e110741145b,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,None,0,1,0,0xa9059cbb,None,Wallet,"['wallet', 'credit', 'lending', 'borrowing', 'finance']"
73,1574901305,0x0220a1b7caa21ff00a562ef4d112731511e82133e94696cfa16eb341270eb57b,0x96a006693b98972a156e3952eca42f5f3db35e28,0x8e870d67f660d95d5be530380d0ec0bd388289e1,None,0,1,0,0xa9059cbb,None,Finance,"['finance', 'fiat', 'tokens', 'exchange', 'assets', 'transactions']"
74,1574901400,0x7ce66b9ab323ac35cc84cf7692615457fa24e154f76cd944f015fb02a1924373,0xf540870661fa0427b4afab0e10b6785134bcebe2,0x8e870d67f660d95d5be530380d0ec0bd388289e1,None,0,1,0,0xa9059cbb,None,Finance,"['finance', 'fiat', 'tokens', 'exchange', 'assets', 'transactions']"
75,1574901402,0xb4163f6957e23e2c89c5998d9fa0633b77c04da1098c6127299672e8007943b6,0xa3627cc3d22360fb0ea36206467578feb6f4c5b4,0x8e870d67f660d95d5be530380d0ec0bd388289e1,None,0,1,0,0xa9059cbb,None,Finance,"['finance', 'fiat', 'tokens', 'exchange', 'assets', 'transactions']"
76,1574901469,0x5facf5dc3ca0f791f773ac66a782bd63507fe4e13e77d0b9d40ba06858111542,0xa12431d0b9db640034b0cdfceef9cce161e62be4,0x8e870d67f660d95d5be530380d0ec0bd388289e1,None,0,1,0,0xa9059cbb,None,Finance,"['finance', 'fiat', 'tokens', 'exchange', 'assets', 'transactions']"
77,1574901485,0x8d63368a1481607f9c3459389ed9074546943efd89d2ee65dc6ff3f090d775d6,0x59a5208b32e627891c389ebafc644145224006e8,0x8e870d67f660d95d5be530380d0ec0bd388289e1,None,0,1,0,0xa9059cbb,None,Finance,"['finance', 'fiat', 'tokens', 'exchange', 'assets', 'transactions']"
78,1574901507,0x0b5e86a3ceacd2bd1c269707739c592bb0c3f33fc46b0fe4284e7eda60e5fb78,0x883eae449a4688d9cf1c066b61f244dac42554e2,0x4f41d10f7e67fd16bde916b4a6dc3dd101c57394,None,0,1,0,0xa22cb465,None,Games,"['mmorpg', 'cannabis', 'farming', 'collectibles', 'entertainment']"
79,1574901518,0x34f181e78b1abe458156d4905786b0f26dda4947d618ef2cc883be898901049d,0x21e900f789bda7eccdf0b1f4fd3e3c636e1f2e33,0x85ca6710d0f1d511d130f6935edda88acbd921bd,None,0,1,0,0xa9059cbb,None,Finance,"['crowdfunding', 'kickstarter', 'finance', 'investment']"
80,1574901525,0x11ced29d3ab58aadca0abb5d404b612e6c3fbc146e5beadb6135d6350a344c3e,0xbbaca990df9bd5dfc1b1fa396d87f25e42af0f4c,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,None,0,1,0,0xa9059cbb,None,Wallet,"['wallet', 'credit', 'lending', 'borrowing', 'finance']"
